BabyAI: A platform to study the sample efficiency of grounded language learning,"Chevalier-Boisvert, Maxime, Bahdanau, Dzmitry, Lahlou, Salem, Willems, Lucas, Saharia, Chitwan, Nguyen, Thien Huu, Bengio, Yoshua",https://arxiv.org/abs/1810.08272,180,,,,,,,,,,,,,,,
"gridworld: Reinforcement learning example, solving the gridworld problem",Will Probert (p-robot),https://github.com/p-robot/gridworld,181,,,,,,,,,,,,,,,
Robust proximal policy optimization for reinforcement learning,"Moazzeni Bikani, Pooya",https://urn.fi/URN:NBN:fi:aalto-202210236159,182,,,,,,,,,,,,,,,
"Concrete Problems in AI Safety, Revisited","Inioluwa Deborah Raji, Roel Dobbe",https://arxiv.org/pdf/2401.10899,183,,,,,,,,,,,,,,,
Safe Reinforcement Learning via Recovery-based Shielding with Gaussian Process Dynamics Models,"Alexander W. Goodall, Francesco Belardinelli",https://arxiv.org/pdf/2602.12444,184,,,,,,,,,,,,,,,
Block Contextual MDPs for Continual Learning,"Shagun Sodhani, Franziska Meier, Joelle Pineau, Amy Zhang",https://proceedings.mlr.press/v168/sodhani22a/sodhani22a.pdf,185,,,,,,,,,,,,,,,
Deep Reinforcement Learning for Autonomous Driving: A Survey,"B Ravi Kiran, Ibrahim Sobh, Victor Talpaert, Patrick Mannion, Ahmad A. Al Sallab, Senthil Yogamani, Patrick Pérez",https://arxiv.org/pdf/2002.00444,186,,,,,,,,,,,,,,,
HighwayEnv: A collection of environments for autonomous driving and tactical decision-making tasks,Edouard Leurent,https://github.com/Farama-Foundation/HighwayEnv,187,,,,,,,,,,,,,,,
Multi-Agent Actor-Critic for Mixed Cooperative-Competitive Environments,"Ryan Lowe, Yi Wu, Aviv Tamar, Jean Harb, Pieter Abbeel, Igor Mordatch",https://arxiv.org/pdf/1706.02275,188,,,,,,,,,,,,,,,
Unity ML-Agents Toolkit,"Juliani, Arthur et al. (Unity Technologies)",https://github.com/Unity-Technologies/ml-agents,189,,,,,,,,,,,,,,,
Procgen Benchmark,"Karl Cobbe, Christopher Hesse, Jacob Hilton, John Schulman",https://github.com/openai/procgen,190,,,,,,,,,,,,,,,
Πολυπρακτορική ενισχυτική μάθηση με μοντέλα διάχυσης,Άρης Τσιλιφώνης,https://dione.lib.unipi.gr/xmlui/handle/unipi/18088,191,,,,,,,,,,,,,,,
AI Safety as a Reinforcement Learning Problem (Video Seminar),Amii (Mont et al.),YouTube (Amii channel),192,,,,,,,,,,,,,,,
Verified Safe Reinforcement Learning for Neural Network Dynamic Models,Junlin Wu (jlwu002),https://github.com/jlwu002/VSRL,193,,,,,,,,,,,,,,,
RAAM: Robust and Approximate Markov Decision Processes,Marek Petrik,https://github.com/marekpetrik/RAAM,194,,,,,,,,,,,,,,,
Safe Learning in Robotics (IROS 2022 Keynote),Angela Schoellig,https://www.youtube.com/watch?v=AngelaSchoellig_IROS2022 (link),195,,,,,,,,,,,,,,,
Model Free Reinforcement Learning with Stability Guarantee,Yuan Tian,https://resolver.tudelft.nl/uuid:dde4e58f-e109-4e7f-8ecb-ed1734294e5c,196,,,,,,,,,,,,,,,
Towards Safe and Efficient Learning in the Physical World,Andreas Krause,https://www.youtube.com/watch?v=StanfordSeminar (link),197,,,,,,,,,,,,,,,
Robotic Foundation Models & Remaining Challenges (AAAI-25 Tutorial),Yunzhu Li,https://www.youtube.com/watch?v=YunzhuLi_Tutorial (link),198,,,,,,,,,,,,,,,
Concrete Problems in AI Safety,"Dario Amodei, Chris Olah, Jacob Steinhardt, Paul Christiano, John Schulman, Dan Mané",https://arxiv.org/pdf/1606.06565,199,,,,,,,,,,,,,,,
Recovery RL: Safe Reinforcement Learning with Learned Recovery Zones,"Brijen Thananjeyan, Ashwin Balakrishna, Suraj Nair, Michael Luo, Krishnan Srinivasan, Minho Hwang, Joseph E. Gonzalez, Julian Ibarz, Chelsea Finn, Ken Goldberg",Paper,"200, 201",,,,,,,,,,,,,,,
abalakrishna123/recovery-rl (Κώδικας),Ashwin Balakrishna και άλλοι,Code,200,,,,,,,,,,,,,,,
Safe Reinforcement Learning Online Seminar (Σειρά Βίντεο),AI Agent Frontier,YouTube Playlist,202,,,,,,,,,,,,,,,
Deep Reinforcement Learning with Double Q-learning,"Hado van Hasselt, Arthur Guez, David Silver",Paper,203,,,,,,,,,,,,,,,
Enhancing Security in Deep Reinforcement Learning: A Comprehensive Survey on Adversarial Attacks and Defenses,"Wu Yichao, Wang Yirui, Ding Panpan, Wang Hailong, Zhu Bingqian, Liu Chun",Paper,204,,,,,,,,,,,,,,,
Leveraging Procedural Generation to Benchmark Reinforcement Learning (Procgen Benchmark),"Karl Cobbe, Christopher Hesse, Jacob Hilton, John Schulman",Paper,205,,,,,,,,,,,,,,,
openai/procgen (Κώδικας),"Karl Cobbe, Christopher Hesse, Jacob Hilton, John Schulman",Code,205,,,,,,,,,,,,,,,
UAI 2024 (Barcelona) - Online Sessions,Uncertainty in Artificial Intelligence,YouTube Playlist,206,,,,,,,,,,,,,,,
pytorch-soft-actor-critic (Υλοποίηση),P. Tandon,Code,201,,,,,,,,,,,,,,,
handful-of-trials-pytorch (Υλοποίηση PETS),Q. Vuong,Code,201,,,,,,,,,,,,,,,
Robust reinforcement learning with a robustness and safety guarantees,Communications and Signal Processing Seminar Series,YouTube,207,,,,,,,,,,,,,,,
Prioritized Experience Replay,"Tom Schaul, John Quan, Ioannis Antonoglou, David Silver",https://arxiv.org/pdf/1511.05952,208,,,,,,,,,,,,,,,
Planning and acting in partially observable stochastic domains,"Leslie Pack Kaelbling, Michael L. Littman, Anthony R. Cassandra",https://people.csail.mit.edu/lpk/papers/aij98-pomdp.pdf,209,,,,,,,,,,,,,,,
POMDP Example Domains,Anthony R. Cassandra,https://www.pomdp.org/examples/,210,,,,,,,,,,,,,,,
Explainable Reinforcement Learning using Interpretable Models,Emmanouil Lykos,https://dione.lib.unipi.gr/xmlui/handle/unipi/16270,211,,,,,,,,,,,,,,,
Diffusion models in offline reinforcement learning,Christos Kyriazopoulos,https://msc-ai.iit.demokritos.gr/en/thesis/diffusion-models-offline-reinforcement-learning,211,,,,,,,,,,,,,,,
Multi-agent reinforcement learning with diffusion models,Aris Tsilifonis,https://msc-ai.iit.demokritos.gr/en/thesis/multi-agent-reinforcement-learning-diffusion-models,211,,,,,,,,,,,,,,,
Explainable deep reinforcement learning via online mimicking,Nikolaos Makris,https://msc-ai.iit.demokritos.gr/en/thesis/explainable-deep-reinforcement-learning-online-mimicking,211,,,,,,,,,,,,,,,
Leveraging Procedural Generation to Benchmark Reinforcement Learning,"Karl Cobbe, Christopher Hesse, Jacob Hilton, John Schulman",https://github.com/openai/procgen,212,,,,,,,,,,,,,,,
Deep Reinforcement Learning at the Edge of the Statistical Precipice,"Rishabh Agarwal, Max Schwarzer, Pablo Samuel Castro, Aaron Courville, Marc G. Bellemare",https://github.com/google-research/rliable,213,,,,,,,,,,,,,,,
Interpretable Operations Research for High-Stakes Decisions: Designing the Greek COVID-19 Testing System,"Bastani, H., Drakopoulos, K., Gupta, V., Vlachogiannis, J., Hadjichristodoulou, C., Lagiou, P., Magiorkinis, G., Paraskevis, D., Tsiodras, S.",https://doi.org/10.1287/INTE.2022.1128,214,,,,,,,,,,,,,,,
PettingZoo Documentation,Farama Foundation,https://pettingzoo.farama.org/,215,,,,,,,,,,,,,,,
HighwayEnv Documentation,Farama Foundation,https://highway-env.farama.org/,215,,,,,,,,,,,,,,,
W3_L1: Bellman equations (YouTube Transcript),IIT Madras - B.S. Degree Programme,Δεν υπάρχει στο υλικό (link),216,,,,,,,,,,,,,,,
Partially Observable Markov Decision Processes (POMDPs) and Robotics,Hanna Kurniawati,https://arxiv.org/pdf/2107.07599,217,,,,,,,,,,,,,,,
Benchmark for Out-of-Distribution Detection in Deep Reinforcement Learning,"Aaqib Parvez Mohammed, Matias Valdenegro-Toro",https://arxiv.org/pdf/2112.02694,218,,,,,,,,,,,,,,,
Artificial Intelligence Risk Management Framework (AI RMF 1.0),National Institute of Standards and Technology (NIST),https://doi.org/10.6028/NIST.AI.100-1,219,,,,,,,,,,,,,,,
rliable: Library for reliable evaluation on RL and ML benchmarks,"Agarwal, Rishabh, Schwarzer, Max, Castro, Pablo Samuel, Courville, Aaron, and Bellemare, Marc G",https://github.com/google-research/rliable,220,,,,,,,,,,,,,,,
Robust Reinforcement Learning for Flight Control,J.B. Pinto de Moura Leite da Cunha,https://resolver.tudelft.nl/uuid:38f79ca6-0c8c-4611-a6d4-8ec2e16dd1c5,221,,,,,,,,,,,,,,,
Lyapunov-based Safe Policy Optimization for Continuous Control,"Yinlam Chow, Ofir Nachum, Aleksandra Faust, Edgar Duenez-Guzman, Mohammad Ghavamzadeh",https://arxiv.org/pdf/1901.10031,222,,,,,,,,,,,,,,,
Safe Reinforcement Learning via Shielding under Partial Observability,"Steven Carr, Sebastian Junges, Nils Jansen, Ufuk Topcu",https://arxiv.org/pdf/2204.00755,223,,,,,,,,,,,,,,,
Simple and Principled Uncertainty Estimation with Deterministic Deep Learning via Distance Awareness (SNGP),"Jeremiah Zhe Liu, Zi Lin, Shreyas Padhy, Dustin Tran, Tania Bedrax-Weiss, Balaji Lakshminarayanan",https://github.com/google/uncertainty-baselines/tree/master/baselines,224,,,,,,,,,,,,,,,
Safe Reinforcement Learning in the Presence of Non-stationarity: Theory and Algorithms,Yahodi Hu,225 (link),225,,,,,,,,,,,,,,,
Robust Markov Decision Processes: A Place Where AI and Formal Methods Meet,"Marnix Suilen, Thom Badings, Eline M. Bovy, David Parker, Nils Jansen",https://arxiv.org/pdf/2411.11451,226,,,,,,,,,,,,,,,
Reactive Exploration to Cope with Non-stationarity in Lifelong Reinforcement Learning,"Christian Steinparz, Thomas Schmied, Fabian Paischer, Marius-Constantin Dinu, Vihang Patil, Angela Bitto-Nemling, Hamid Eghbal-zadeh, Sepp Hochreiter",https://proceedings.mlr.press/v199/steinparz22a/steinparz22a.pdf,227,,,,,,,,,,,,,,,
Loss of Plasticity in Continual Deep Reinforcement Learning,"Zaheer Abbas, Rosie Zhao, Joseph Modayil, Adam White, Marlos C. Machado",https://proceedings.mlr.press/v232/abbas23a/abbas23a.pdf,228,,,,,,,,,,,,,,,
Εφαρμογή μεθόδων ενισχυτικής μάθησης στο περιβάλλον Streetfighter ΙΙ,Χαράλαμπος Β. Σπηλιόπουλος,https://ir.lib.uth.gr/xmlui/handle/11615/59645,229,,,,,,,,,,,,,,,
Πολυπρακτορική ενισχυτική μάθηση με μοντέλα διάχυσης,Άρης Τσιλιφώνης,https://msc-ai.iit.demokritos.gr/el/thesis/polypraktoriki-enishytiki-mathisi-me-montela-diahysis,230,,,,,,,,,,,,,,,
Νευρο-συμβολική Αναγνώριση Σύνθετων Συμβάντων στην Αυτόνομη Οδήγηση,Τατιάνα Μπούρα,https://msc-ai.iit.demokritos.gr/el/thesis/neyro-symvoliki-anagnorisi-syntheton-symvanton-stin-aytonomi-odigisi,230,,,,,,,,,,,,,,,
Generalizing offline reinforcement learning to unseen dynamics parameters with synthetic data,Boxu Liu,https://urn.fi/URN:NBN:fi:aalto-202501271899,231,,,,,,,,,,,,,,,
Safety in Reinforcement Learning by Leveraging Offline Data,Sergey Levine,YouTube Talk (link),232,,,,,,,,,,,,,,,
Self-Initiated Open World Learning for Autonomous AI Agents,"Bing Liu, Eric Robertson, Scott Grigsby, Sahisnu Mazumder",https://arxiv.org/pdf/2110.11385,233,,,,,,,,,,,,,,,
Safety-Gymnasium: A Unified Safe Reinforcement Learning Benchmark,"Jiaming Ji, Borong Zhang, Jiayi Zhou, Xuehai Pan, Weidong Huang, Ruiyang Sun, Yiran Geng, Yifan Zhong, Juntao Dai, Yaodong Yang",https://sites.google.com/view/safety-gymnasium,234,,,,,,,,,,,,,,,
Safe and Robust Reinforcement Learning: Principles and Practice,"Taku Yamagata, Raúl Santos-Rodŕıguez",https://arxiv.org/pdf/2403.18539,235,,,,,,,,,,,,,,,
Συγκριτική ανάλυση και υλοποίηση αλγορίθμων βαθιάς ενισχυτικής μάθησης στον προσομοιωτή αυτόνομης οδήγησης CARLA (CAR Learning to Act),Κωνσταντίνος Μητρόπουλος,https://apothesis.eap.gr/archive/item/191697,236,,,,,,,,,,,,,,,
An Autonomous Illumination System for Vehicle Documentation Based on Deep Reinforcement Learning,"Leontaris L., Dimitriou N., Ioannidis D., Votis K., Tzovaras D., Papageorgiou E.",https://doi.org/10.1109/ACCESS.2021.3081736,237,,,,,,,,,,,,,,,
Investigation of speed and trajectory of motorcycle riders at curved road sections of two-lane rural roads under diverse lighting conditions,"Lemonakis P., Eliou N., Karakasidis T.",http://hdl.handle.net/11615/75758,237,,,,,,,,,,,,,,,
A modern perspective on safe automated driving for different traffic dynamics using constrained reinforcement learning,"Kamran, D., Simão, T.D., Yang, Q., Ponnambalam, C.T., Fischer, J., Spaan, M.T.J., Lauer, M.",https://ieeexplore.ieee.org/document/9922112 (link),238,,,,,,,,,,,,,,,
Reinforcement Learning in Non-Stationary Environments,Rani Sharma,https://www.youtube.com/watch?v=78 (link),239,,,,,,,,,,,,,,,
rliable: Library for reliable evaluation on RL and ML benchmarks,"Agarwal, Rishabh, Schwarzer, Max, Castro, Pablo Samuel, Courville, Aaron, Bellemare, Marc G",https://github.com/google-research/rliable,240,,,,,,,,,,,,,,,
Teaching Transformers to Play Combinatorial Games via Reinforcement Learning,Aristarchos D. Kaloutsas,https://pergamos.lib.uoa.gr/uoa/dl/object/5312018/file.pdf,241,,,,,,,,,,,,,,,
Decision-making under uncertainty: beyond probabilities,"Thom Badings, Thiago D. Simão, Marnix Suilen, Nils Jansen",https://doi.org/10.1007/s10009-023-00704-3,238,,,,,,,,,,,,,,,
Εφαρμογή εργαλείων τεχνητής νοημοσύνης για ανάπτυξη παιγνίου και χρήση της μηχανής Unreal ως περιβάλλον προσομοίωσης βαθιάς ενισχυτικής μάθησης,"Κουρκούτας, Δημήτριος Λ.",http://hdl.handle.net/11615/85202,242,,,,,,,,,,,,,,,
Από Ντετερμινιστικά σε Ενημερωμένα για την Αβεβαιότητα Νευρωνικά Δίκτυα: Μια Μελέτη από το Μηδέν στα MNIST και Fashion-MNIST,LEVKAKIS CHRISTODOULOS,https://pergamos.lib.uoa.gr/uoa/dl/object/5411174,243,,,,,,,,,,,,,,,
Στιβαρή Ενισχυτική Μάθηση για Έλεγχο Πτήσης,J.B. Pinto de Moura Leite da Cunha,https://resolver.tudelft.nl/uuid:38f79ca6-0c8c-4611-a6d4-8ec2e16dd1c5,244,,,,,,,,,,,,,,,
W3_L1: Εξισώσεις Bellman,IIT Madras - B.S. Degree Programme,https://www.youtube.com/watch?v=BellmanEquations (link),245,,,,,,,,,,,,,,,
Στιβαρές Διαδικασίες Λήψης Αποφάσεων Markov Μέσης Ανταμοιβής,"Yue Wang, Alvaro Velasquez, George Atia, Ashley Prater-Bennette, Shaofeng Zou",https://arxiv.org/pdf/2301.00858,246,,,,,,,,,,,,,,,
SoK: Επιθέσεις και Άμυνες Εχθρικής Μηχανικής Μάθησης σε Ενισχυτική Μάθηση Πολλαπλών Πρακτόρων,"Maxwell Standen, Junae Kim, Claudia Szabo",https://arxiv.org/pdf/2301.04299,247,,,,,,,,,,,,,,,
Meta-Gradients σε Μη Στατικά Περιβάλλοντα,"Jelena Luketina, Sebastian Flennerhag, Yannick Schroecker, David Abel, Tom Zahavy, Satinder Singh",https://proceedings.mlr.press/v199/luketina22a/luketina22a.pdf,248,,,,,,,,,,,,,,,
Guided Policy Search (GPS),Levine et al.,Not in source,6,,,,,,,,,,,,,,,
Deep Q-learning from Demonstrations (DQfD),Hester et al.,Not in source,6,,,,,,,,,,,,,,,
AlphaGo Zero,Silver et al.,Not in source,6,,,,,,,,,,,,,,,
OpenAI Gym,Not in source,https://gym.openai.com,6,,,,,,,,,,,,,,,
Neural Maps for Mobile Robot Navigation,"M. G. Lagoudakis, A. S. Maida",Not in source,18,,,,,,,,,,,,,,,
Incremental Multi-Objective Motion Control of Nonholonomic Mobile Robots,M. G. Lagoudakis,Not in source,18,,,,,,,,,,,,,,,
On Improving Mobile Robot Motion Control,M. G. Lagoudakis,Not in source,18,,,,,,,,,,,,,,,
Safe reinforcement learning on autonomous vehicles,Not in source,Paper,55,,,,,,,,,,,,,,,
Can You Trust Your Autonomous Car? Interpretable and Verifiably Safe Reinforcement Learning,Not in source,Paper,55,,,,,,,,,,,,,,,
Safe reinforcement learning with scene decomposition for navigating complex urban environments,Not in source,Paper,55,,,,,,,,,,,,,,,
Evaluating Robustness and Resilience in Multi-Agent Reinforcement Learning,Not in source,GitHub README,134,,,,,,,,,,,,,,,
Reinforcement Learning basics- Policy Iteration : 4X4 grid world from Sutton & Barto,AI Explorations with Sauradeep,Not in source,249,,,,,,,,,,,,,,,
